 TIME                    	t                        	f-sim                    	f-exp                    	Tr-sim                   	Tr-exp                   	RHr-sim                  	RHr-exp                  	Ts-sim                   	Ts-exp                   	RHs-sim                  	RHs-exp                  	Toa                      	Pel-sim                  	Pel-exp                  	Qcs-sim                  	Qcs-exp                  	Qcl-sim                  	Qcl-exp                  	Qc-sim                   	Qc-exp                   	
  +2.1833333333333331E+00	  +7.8600000000000000E+03	  +2.2800000000000001E+01	  +3.1260999999999999E+01	  +2.3679190276554564E+01	  +2.3853999999999999E+01	  +4.4286000000000001E+01	  +4.4286000000000001E+01	  +1.8825119878858885E+01	  +1.6280000000000001E+01	  +5.5937580283216860E+01	  +7.1088999999999999E+01	  +3.4329000000000001E+01	  +2.6376270209047276E-01	  +4.0228333333333333E-01	  +1.0510732828552658E+00	  +2.7679138888888888E+00	  +8.4445207952876833E-01	  +0.0000000000000000E+00	  +1.8955253623840342E+00	  +2.7679138888888888E+00	
  +2.2000000000000002E+00	  +7.9200000000000000E+03	  +2.2800000000000001E+01	  +3.1222000000000001E+01	  +2.3694877400887055E+01	  +2.3872000000000000E+01	  +7.1228999999999999E+01	  +7.1228999999999999E+01	  +1.8839737196343201E+01	  +1.6297000000000001E+01	  +5.5962804746082149E+01	  +6.5846999999999994E+01	  +3.4359999999999999E+01	  +2.6400992651480676E-01	  +4.0644166666666670E-01	  +1.0515999123954918E+00	  +9.6716166666666670E-01	  +8.4392718846277870E-01	  +1.8050019444444443E+00	  +1.8955271008582706E+00	  +2.7721636111111114E+00	
  +2.2166666666666668E+00	  +7.9800000000000000E+03	  +2.2800000000000001E+01	  +3.1268000000000001E+01	  +2.3719704446489494E+01	  +2.3913000000000000E+01	  +4.1935000000000002E+01	  +4.1935000000000002E+01	  +1.8878170211263289E+01	  +1.6338000000000001E+01	  +5.5980158418467788E+01	  +5.0837000000000003E+01	  +3.4637000000000000E+01	  +2.6584955117861880E-01	  +4.0846861111111116E-01	  +1.0481906855015999E+00	  +1.6905824999999999E+00	  +8.3949054428298253E-01	  +1.0580763888888889E+00	  +1.8876812297845824E+00	  +2.7486588888888890E+00	
  +2.2333333333333334E+00	  +8.0400000000000000E+03	  +2.6600000000000001E+01	  +3.1244000000000000E+01	  +2.3700590057460179E+01	  +2.3986999999999998E+01	  +7.1126000000000005E+01	  +7.1126000000000005E+01	  +1.8018721523371891E+01	  +1.6388000000000002E+01	  +5.6944246407955866E+01	  +6.1348999999999997E+01	  +3.4701000000000001E+01	  +3.4254639185421121E-01	  +4.0633777777777780E-01	  +1.2305157214750384E+00	  +8.9852055555555554E-01	  +9.8489685658013892E-01	  +1.8381208333333332E+00	  +2.2154125780551772E+00	  +2.7366413888888887E+00	
  +2.2500000000000000E+00	  +8.1000000000000000E+03	  +2.6600000000000001E+01	  +3.1221000000000000E+01	  +2.3635944052569368E+01	  +2.3997000000000000E+01	  +3.5253999999999998E+01	  +3.5253999999999998E+01	  +1.7978510686794515E+01	  +1.6459000000000000E+01	  +5.6822810054116516E+01	  +7.1132999999999996E+01	  +3.4722000000000001E+01	  +3.4249787077079469E-01	  +4.0543388888888887E-01	  +1.2252475170813033E+00	  +2.7623111111111109E+00	  +9.8412955109340472E-01	  +0.0000000000000000E+00	  +2.2093770681747080E+00	  +2.7623111111111109E+00	
  +2.2666666666666666E+00	  +8.1600000000000000E+03	  +2.6600000000000001E+01	  +3.1183000000000000E+01	  +2.3578912006453887E+01	  +2.4106000000000002E+01	  +7.0846999999999994E+01	  +7.0846999999999994E+01	  +1.7942310223401666E+01	  +1.6504999999999999E+01	  +5.6714583829891509E+01	  +5.6271000000000001E+01	  +3.4737000000000002E+01	  +3.4242439631072191E-01	  +4.1079611111111108E-01	  +1.2206171029015223E+00	  +8.4445027777777781E-01	  +9.8351633212924161E-01	  +1.8929955555555555E+00	  +2.2041334350307640E+00	  +2.7374458333333336E+00	
  +2.2833333333333332E+00	  +8.2200000000000000E+03	  +2.6600000000000001E+01	  +3.1244000000000000E+01	  +2.3527549322817102E+01	  +2.4062999999999999E+01	  +3.6030000000000001E+01	  +3.6030000000000001E+01	  +1.7907496614263927E+01	  +1.6533000000000001E+01	  +5.6619991744049671E+01	  +6.1420000000000002E+01	  +3.4723999999999997E+01	  +3.4214877386880177E-01	  +4.0988944444444447E-01	  +1.2169539585297295E+00	  +2.7357486111111111E+00	  +9.8335256964680673E-01	  +0.0000000000000000E+00	  +2.2003065281765366E+00	  +2.7357486111111111E+00	
  +2.2999999999999998E+00	  +8.2800000000000000E+03	  +2.6600000000000001E+01	  +3.1236000000000001E+01	  +2.3480174888917141E+01	  +2.4224000000000000E+01	  +7.1060000000000002E+01	  +7.1060000000000002E+01	  +1.7874742888249958E+01	  +1.6632000000000001E+01	  +5.6533019226461825E+01	  +7.1111999999999995E+01	  +3.4704999999999998E+01	  +3.4183938856966978E-01	  +4.0714611111111115E-01	  +1.2137042388237438E+00	  +1.0291750000000000E+00	  +9.8332415659413730E-01	  +1.7320080555555557E+00	  +2.1970283954178811E+00	  +2.7611830555555557E+00	
  +2.3166666666666669E+00	  +8.3400000000000000E+03	  +2.6600000000000001E+01	  +3.4018000000000001E+01	  +2.3453235324362904E+01	  +2.4245000000000001E+01	  +3.6659999999999997E+01	  +3.6659999999999997E+01	  +1.7906965084283147E+01	  +1.6649000000000001E+01	  +5.6419057335636055E+01	  +5.6603999999999999E+01	  +3.5155999999999999E+01	  +3.4326285341826029E-01	  +4.4657666666666662E-01	  +1.2000509689380594E+00	  +2.5580980555555555E+00	  +9.7407665901063700E-01	  +2.0087055555555555E-01	  +2.1741276279486965E+00	  +2.7589686111111114E+00	
  +2.3333333333333335E+00	  +8.4000000000000000E+03	  +2.6600000000000001E+01	  +3.8557000000000002E+01	  +2.3447594811649488E+01	  +2.4172000000000001E+01	  +7.1108999999999995E+01	  +7.1108999999999995E+01	  +1.7922213100980525E+01	  +1.6093000000000000E+01	  +5.6395642040530639E+01	  +6.2174999999999997E+01	  +3.5259000000000000E+01	  +3.4272281649708397E-01	  +4.4953027777777776E-01	  +1.1959589377891258E+00	  +1.0025902777777778E+00	  +9.7083356237288065E-01	  +1.9879622222222222E+00	  +2.1667925001620065E+00	  +2.9905524999999997E+00	
  +2.3500000000000001E+00	  +8.4600000000000000E+03	  +2.6600000000000001E+01	  +3.9613000000000000E+01	  +2.3448064771739052E+01	  +2.4180000000000000E+01	  +4.0308999999999997E+01	  +4.0308999999999997E+01	  +1.7931614200897599E+01	  +1.6498000000000001E+01	  +5.6387995243194133E+01	  +7.1123000000000005E+01	  +3.5311999999999998E+01	  +3.4245306778881962E-01	  +4.2367749999999998E-01	  +1.1940330419342449E+00	  +2.7406450000000002E+00	  +9.6917974553605557E-01	  +0.0000000000000000E+00	  +2.1632127874703002E+00	  +2.7406450000000002E+00	
  +2.3666666666666667E+00	  +8.5200000000000000E+03	  +2.6600000000000001E+01	  +3.4215000000000003E+01	  +2.3455819012415738E+01	  +2.4178000000000001E+01	  +6.8980999999999995E+01	  +6.8980999999999995E+01	  +1.7954833176154370E+01	  +1.6512000000000000E+01	  +5.6381891088508098E+01	  +5.5828000000000003E+01	  +3.5423000000000002E+01	  +3.4190653320451742E-01	  +4.2033361111111112E-01	  +1.1904040535554674E+00	  +8.7315000000000009E-01	  +9.6574742022433235E-01	  +1.8689594444444444E+00	  +2.1561514737797998E+00	  +2.7421094444444440E+00	
  +2.3833333333333333E+00	  +8.5800000000000000E+03	  +2.6600000000000001E+01	  +4.1039999999999999E+01	  +2.3467622184027348E+01	  +2.4222999999999999E+01	  +6.2866999999999997E+01	  +6.2866999999999997E+01	  +1.7967116174390220E+01	  +1.6530000000000001E+01	  +5.6402909827194357E+01	  +4.9851999999999997E+01	  +3.5444000000000003E+01	  +3.4184428177380805E-01	  +4.6459777777777778E-01	  +1.1906214173183900E+00	  +9.2606333333333335E-01	  +9.6516905238109907E-01	  +1.8420505555555555E+00	  +2.1557904696994892E+00	  +2.7681138888888888E+00	
