 TIME                    	time                     	freq-sim                 	freq-exp                 	Toa                      	Tr-sim                   	Tr-exp                   	Ts-sim                   	Ts-exp                   	Pel-sim                  	Pel-exp                  	Qh-sim                   	Qh-exp                   	Qhair                    	
  +1.4833333333333334E+00	  +1.4830000000000001E+00	  +5.9500000000000000E+01	  +0.0000000000000000E+00	  -1.2580000000000000E+01	  +2.1448941202908269E+01	  +2.2550000000000001E+01	  +2.1449220030048110E+01	  +3.3375000000000000E+01	  +6.4088999435972627E-01	  -5.2061111111111110E-03	  +0.0000000000000000E+00	  +2.2499999999999999E-02	  +1.8671838888888890E+00	
  +1.5000000000000000E+00	  +1.5000000000000000E+00	  +1.1900000000000000E+02	  +3.6685000000000002E+01	  -1.1468000000000000E+01	  +2.1027410646554564E+01	  +2.2129999999999999E+01	  +2.1027661329707385E+01	  +3.1722000000000001E+01	  +3.0507806147856602E+00	  +1.0260527777777778E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.5166666666666666E+00	  +1.5169999999999999E+00	  +1.1900000000000000E+02	  +4.8292000000000002E+01	  -1.0349000000000000E+01	  +2.0657206021614506E+01	  +1.6385999999999999E+01	  +2.2918964795111258E+01	  +3.0666000000000000E+01	  +3.0311149561620647E+00	  +2.7139138888888892E-01	  +4.8477974450455324E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.5333333333333334E+00	  +1.5329999999999999E+00	  +1.1900000000000000E+02	  +7.6069999999999993E+01	  -8.5559999999999992E+00	  +2.0374612862002209E+01	  +1.1644000000000000E+01	  +2.5118262595060060E+01	  +3.0007000000000001E+01	  +3.0057479105768041E+00	  +7.1928611111111107E-01	  +1.0175994926735845E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.5500000000000000E+00	  +1.5500000000000000E+00	  +1.1900000000000000E+02	  +0.0000000000000000E+00	  -6.5549999999999997E+00	  +2.0184613516733616E+01	  +9.6940000000000008E+00	  +2.7706783894188771E+01	  +2.9541000000000000E+01	  +2.9799096985512490E+00	  -4.6950000000000004E-03	  +1.6146084402316103E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.5666666666666667E+00	  +1.5669999999999999E+00	  +1.1900000000000000E+02	  +4.3134000000000000E+01	  -6.5819999999999999E+00	  +2.0082828452353997E+01	  +9.2609999999999992E+00	  +3.0028673583340723E+01	  +2.7742000000000001E+01	  +2.9782025597967303E+00	  +1.7943277777777777E-01	  +2.1355041909551744E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.5833333333333333E+00	  +1.5830000000000000E+00	  +1.1900000000000000E+02	  +6.7069000000000003E+01	  -6.0739999999999998E+00	  +2.0060572167948326E+01	  +1.4121000000000000E+01	  +3.2433790525404049E+01	  +2.3882000000000001E+01	  +2.9721553673635026E+00	  +5.5451416666666664E-01	  +2.6568634164940259E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.6000000000000001E+00	  +1.6000000000000001E+00	  +1.1900000000000000E+02	  +8.5430999999999997E+01	  -7.1749999999999998E+00	  +2.0103597805535642E+01	  +1.7475000000000001E+01	  +3.4212723398187840E+01	  +3.0303999999999998E+01	  +2.9851686424519883E+00	  +1.0795336111111111E+00	  +3.0290495355216716E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.6166666666666667E+00	  +1.6170000000000000E+00	  +1.1900000000000000E+02	  +9.8920000000000002E+01	  -8.0340000000000007E+00	  +2.0194793533265411E+01	  +1.9088000000000001E+01	  +3.5787217017345313E+01	  +3.6253999999999998E+01	  +2.9964498610843755E+00	  +1.4862222222222221E+00	  +3.3464869376334052E+00	  +9.7949722222222230E-02	  +2.9637619444444443E+00	
  +1.6333333333333333E+00	  +1.6330000000000000E+00	  +1.1900000000000000E+02	  +1.0333700000000000E+02	  -8.6690000000000005E+00	  +2.0325878900148933E+01	  +1.9896000000000001E+01	  +3.7218304106366411E+01	  +3.8718000000000004E+01	  +3.0060445154600792E+00	  +1.6404005555555556E+00	  +3.6239288905030986E+00	  +1.5521666666666667E-01	  +3.2323577777777777E+00	
  +1.6499999999999999E+00	  +1.6499999999999999E+00	  +1.1900000000000000E+02	  +1.0284099999999999E+02	  -8.9149999999999991E+00	  +2.0491545760679791E+01	  +2.0350000000000001E+01	  +3.8630006924535415E+01	  +3.6517000000000003E+01	  +3.0120263592819732E+00	  +1.6012647222222223E+00	  +3.8891158676276643E+00	  +1.5142194444444446E-01	  +3.3655472222222222E+00	
  +1.6666666666666667E+00	  +1.6670000000000000E+00	  +1.1900000000000000E+02	  +1.1145000000000000E+02	  -9.0530000000000008E+00	  +2.0687710972199259E+01	  +2.0366000000000000E+01	  +3.9937577699127111E+01	  +3.6740000000000002E+01	  +3.0170214563825901E+00	  +1.8206255555555557E+00	  +4.1293227154656771E+00	  +1.5153305555555555E-01	  +3.4073672222222227E+00	
  +1.6833333333333333E+00	  +1.6830000000000001E+00	  +1.1900000000000000E+02	  +1.2301300000000001E+02	  -9.3659999999999997E+00	  +2.0907754291895493E+01	  +2.0481999999999999E+01	  +4.1060404374047316E+01	  +3.7640999999999998E+01	  +3.0248731434172602E+00	  +2.0099272222222222E+00	  +4.3189760064950091E+00	  +1.7539388888888888E-01	  +3.5646994444444444E+00	
