 TIME                    	time                     	freq                     	Toa                      	Tr                       	Ts-exp                   	Ts-sim                   	Pel-exp                  	Pel-sim                  	Qh-exp                   	Qh-sim                   	Qhair-exp                	
  +9.3333333333333335E-01	  +9.3300000000000005E-01	  +6.0853000000000002E+01	  +9.6379999999999999E+00	  +2.3346000000000000E+01	  +4.2222999999999999E+01	  +4.4424439113546867E+01	  +8.8072638888888888E-01	  +1.0136729873777064E+00	  +4.3199825000000001E+00	  +4.5768842763222946E+00	  +3.8745577777777775E+00	
  +9.4999999999999996E-01	  +9.4999999999999996E-01	  +5.8387999999999998E+01	  +9.7189999999999994E+00	  +2.3219000000000001E+01	  +4.2067000000000000E+01	  +4.3811195217662430E+01	  +8.8123750000000001E-01	  +9.4525559074656451E-01	  +4.3351163888888893E+00	  +4.4707401622060576E+00	  +3.8701741666666667E+00	
  +9.6666666666666667E-01	  +9.6699999999999997E-01	  +5.9618000000000002E+01	  +9.6790000000000003E+00	  +2.3247000000000000E+01	  +4.2107999999999997E+01	  +4.4116379374966087E+01	  +8.6882944444444443E-01	  +9.7662336321297583E-01	  +4.3270963888888891E+00	  +4.5310446826495294E+00	  +3.8725883333333333E+00	
  +9.8333333333333328E-01	  +9.8299999999999998E-01	  +6.0531999999999996E+01	  +9.6359999999999992E+00	  +2.3381000000000000E+01	  +4.2170000000000002E+01	  +4.4362214233519069E+01	  +8.7245638888888888E-01	  +1.0049911068931290E+00	  +4.3242025000000002E+00	  +4.5559320998517050E+00	  +3.8565858333333334E+00	
  +1.0000000000000000E+00	  +1.0000000000000000E+00	  +6.0005000000000003E+01	  +9.5980000000000008E+00	  +2.3308000000000000E+01	  +4.2076000000000001E+01	  +4.4145095726036480E+01	  +8.8608277777777777E-01	  +9.8950248187246681E-01	  +4.3406230555555556E+00	  +4.5243090632723675E+00	  +3.8530805555555556E+00	
  +1.0166666666666666E+00	  +1.0169999999999999E+00	  +5.8957999999999998E+01	  +9.5969999999999995E+00	  +2.3213999999999999E+01	  +4.2072000000000003E+01	  +4.3817853541284336E+01	  +8.8214138888888882E-01	  +9.6059948673598627E-01	  +4.3312705555555553E+00	  +4.4732491791893239E+00	  +3.8722733333333332E+00	
  +1.0333333333333334E+00	  +1.0329999999999999E+00	  +5.9448999999999998E+01	  +9.6259999999999994E+00	  +2.3280000000000001E+01	  +4.2024000000000001E+01	  +4.4026010332572575E+01	  +8.8386222222222222E-01	  +9.7310983185714262E-01	  +4.3264016666666665E+00	  +4.5044067448979588E+00	  +3.8486830555555556E+00	
  +1.0500000000000000E+00	  +1.0500000000000000E+00	  +5.8459000000000003E+01	  +9.5549999999999997E+00	  +2.3283999999999999E+01	  +4.2146000000000001E+01	  +4.3667829665675519E+01	  +8.8305083333333334E-01	  +9.4972677906228387E-01	  +4.3273669444444449E+00	  +4.4257870595650024E+00	  +3.8724425000000000E+00	
  +1.0666666666666667E+00	  +1.0669999999999999E+00	  +5.9043999999999997E+01	  +9.6289999999999996E+00	  +2.3446999999999999E+01	  +4.2170000000000002E+01	  +4.4010439891511488E+01	  +8.8678749999999995E-01	  +9.6520795715951546E-01	  +4.3173880555555550E+00	  +4.4655095097097650E+00	  +3.8425777777777781E+00	
  +1.0833333333333333E+00	  +1.0830000000000000E+00	  +5.8997999999999998E+01	  +9.5999999999999996E+00	  +2.3408000000000001E+01	  +4.2246000000000002E+01	  +4.3940551579627851E+01	  +8.7850888888888889E-01	  +9.6398147822046465E-01	  +4.3285991666666668E+00	  +4.4586280747828537E+00	  +3.8659672222222223E+00	
