nu	phic1	phic1s	phic1s	phic2
1.175	1.087	0.585	0.502	1.265
1.182	1.130	0.609	0.522	1.261
1.166	1.137	0.601	0.536	1.267
1.073	1.135	0.590	0.545	1.050
1.199	1.205	0.614	0.592	1.208
1.254	1.226	0.613	0.613	1.293
1.252	1.218	0.640	0.578	1.291
1.232	1.211	0.651	0.560	1.272
1.239	1.209	0.638	0.570	1.288
1.235	1.199	0.619	0.580	1.284
1.216	1.202	0.633	0.569	1.281
1.237	1.196	0.633	0.563	1.282
1.236	1.160	0.609	0.550	1.285
1.234	1.178	0.622	0.556	1.285
1.227	1.176	0.615	0.561	1.281
1.245	1.136	0.591	0.545	1.290
1.228	1.153	0.599	0.554	1.307
1.228	1.160	0.613	0.548	1.299
1.237	1.132	0.601	0.530	1.299
1.206	1.132	0.584	0.549	1.297
1.212	1.132	0.589	0.543	1.287
1.196	1.128	0.580	0.548	1.279
1.195	1.125	0.576	0.549	1.291
1.166	1.185	0.601	0.583	1.243
1.148	1.188	0.598	0.590	1.226
1.157	1.195	0.606	0.589	1.237
1.166	1.202	0.602	0.600	1.244
1.157	1.186	0.586	0.600	1.257
1.157	1.192	0.604	0.588	1.244
1.149	1.181	0.602	0.580	1.255
1.156	1.187	0.607	0.580	1.251
1.183	1.169	0.587	0.582	1.245
1.144	1.163	0.584	0.579	1.255
1.113	1.150	0.579	0.571	1.219
1.112	1.154	0.588	0.566	1.215
1.116	1.159	0.600	0.559	1.206
1.123	1.161	0.575	0.585	1.221
1.113	1.129	0.571	0.558	1.215
1.129	1.121	0.570	0.550	1.216
1.131	1.149	0.585	0.564	1.213
1.131	1.157	0.588	0.569	1.225
1.149	1.162	0.594	0.568	1.228
1.111	1.103	0.565	0.538	1.227
1.216	1.186	0.652	0.534	1.208
1.235	1.200	0.664	0.536	1.275
1.242	1.194	0.681	0.513	1.286
1.278	1.192	0.666	0.527	1.263
1.245	1.190	0.671	0.519	1.282
1.259	1.182	0.660	0.522	1.281
1.266	1.176	0.662	0.514	1.281
1.260	1.176	0.655	0.521	1.282
1.250	1.153	0.651	0.502	1.281
1.249	1.153	0.639	0.514	1.285
1.223	1.153	0.635	0.518	1.276
1.246	1.131	0.639	0.492	1.289
1.236	1.129	0.633	0.496	1.287
1.237	1.136	0.638	0.499	1.293
1.221	1.112	0.625	0.487	1.296
1.228	1.096	0.613	0.483	1.276
1.212	1.115	0.644	0.471	1.296
1.215	1.093	0.626	0.467	1.292
1.218	1.088	0.622	0.466	1.295
1.212	1.088	0.623	0.466	1.274
1.198	1.082	0.617	0.466	1.270
0.928	0.961	0.473	0.489	0.883
0.856	0.934	0.444	0.490	0.813
0.873	0.939	0.545	0.394	0.823
0.859	0.936	0.495	0.441	0.845
0.873	0.940	0.509	0.431	0.828
0.846	0.943	0.468	0.476	0.838
0.859	0.938	0.523	0.415	0.839
0.849	0.944	0.445	0.499	0.837
0.847	0.944	0.465	0.478	0.841
0.841	0.936	0.378	0.558	0.844
0.829	0.935	0.464	0.471	0.851
0.883	0.931	0.372	0.560	0.849
0.864	0.930	0.382	0.548	0.856
0.839	0.905	0.513	0.391	0.800
0.851	0.934	0.470	0.464	0.861
0.831	0.934	0.496	0.438	0.863
0.708	0.800	0.368	0.432	0.592
0.707	0.793	0.359	0.434	0.588
0.687	0.775	0.423	0.352	0.591
0.741	0.777	0.354	0.423	0.607
0.714	0.774	0.349	0.425	0.593
0.673	0.789	0.364	0.425	0.591
0.910	1.048	0.445	0.603	0.915
0.945	1.046	0.440	0.606	0.913
0.955	1.050	0.533	0.517	0.922
0.917	1.039	0.505	0.534	0.910
0.918	1.046	0.567	0.478	0.902
0.925	1.041	0.569	0.472	0.912
0.924	1.045	0.572	0.473	0.905
0.929	1.036	0.569	0.467	0.921
0.958	1.039	0.567	0.472	0.921
0.910	1.040	0.574	0.466	0.917
0.945	1.045	0.573	0.472	0.915
0.927	1.033	0.436	0.598	0.906
0.942	1.041	0.538	0.502	0.913
0.925	1.041	0.532	0.509	0.909
0.908	1.039	0.571	0.468	0.902
0.930	1.021	0.433	0.588	0.911
0.916	1.024	0.463	0.561	0.912
0.918	1.028	0.487	0.541	0.906
0.964	1.037	0.480	0.557	0.939
0.921	1.030	0.561	0.469	0.911
0.919	1.028	0.564	0.465	0.908
0.904	0.997	0.430	0.567	0.907
0.910	1.017	0.479	0.537	0.903
0.915	1.028	0.519	0.510	0.917
0.948	1.029	0.535	0.493	0.903
0.928	1.021	0.531	0.490	0.920
0.921	1.021	0.559	0.462	0.912
0.927	1.016	0.559	0.458	0.923
0.934	1.031	0.526	0.505	0.900
0.907	1.028	0.452	0.576	0.907
0.910	1.030	0.440	0.590	0.925
0.921	1.027	0.473	0.554	0.924
0.947	1.008	0.495	0.513	0.931
0.946	0.992	0.513	0.479	0.912
0.911	0.997	0.523	0.474	0.915
0.905	1.017	0.557	0.460	0.906
0.917	1.018	0.534	0.483	0.909
0.924	1.012	0.545	0.467	0.915
0.915	1.003	0.505	0.498	0.914
0.919	0.991	0.417	0.574	0.925
0.946	1.008	0.434	0.574	0.928
0.913	0.992	0.473	0.519	0.921
0.926	1.020	0.525	0.495	0.930
0.938	1.020	0.528	0.492	0.930
0.925	0.991	0.558	0.433	0.915
0.920	1.016	0.558	0.457	0.917
0.916	1.021	0.549	0.472	0.917
0.900	1.014	0.508	0.506	0.911
0.907	0.992	0.441	0.550	0.924
0.931	1.015	0.439	0.576	0.918
0.954	1.019	0.486	0.533	0.919
0.954	1.019	0.478	0.541	0.933
0.918	1.029	0.537	0.492	0.936
0.927	1.016	0.552	0.464	0.943
0.919	1.020	0.552	0.468	0.941
0.911	1.022	0.511	0.511	0.923
0.918	0.985	0.536	0.449	0.920
0.919	1.013	0.430	0.583	0.931
0.916	1.015	0.433	0.582	0.932
0.900	0.999	0.476	0.523	0.927
0.926	1.021	0.489	0.532	0.915
0.937	1.017	0.511	0.507	0.947
0.935	1.026	0.534	0.492	0.936
0.927	1.015	0.533	0.482	0.922
0.908	0.982	0.551	0.431	0.927
0.926	1.011	0.564	0.447	0.929
0.958	1.022	0.567	0.455	0.923
0.917	1.026	0.568	0.458	0.929
0.922	1.023	0.528	0.495	0.935
0.644	0.690	0.376	0.314	0.518
0.703	0.685	0.372	0.313	0.519
0.732	0.688	0.376	0.312	0.517
0.716	0.684	0.372	0.311	0.516
0.642	0.687	0.378	0.309	0.523
0.700	0.684	0.360	0.324	0.530
0.662	0.687	0.366	0.321	0.527
0.730	0.665	0.357	0.308	0.492
1.151	1.147	0.568	0.579	1.212
